,user,gender,province,time,text,mk,ks
0,2302077230.0,f,33,Thu Aug 11 16:32:05 +0800 2011,MK等他打到RMB2000以下买就值了[偷笑],1.0,0.0
1,2302077230.0,f,33,Thu Aug 11 16:32:05 +0800 2011,回复@Arielle_K: MK就是“啊我好喜欢这个款式可惜买不起去看看MK有没有同款”，不过现在coach换了设计师以后好看很多，质量也不错，打折起来也是一样不要命的架势,1.0,0.0
2,1728202521.0,f,61,Sat Apr 10 22:25:01 +0800 2010,@王点点尼莫 现终于开MK了.....[震惊],1.0,0.0
3,1738272857.0,f,44,Thu May 06 11:27:39 +0800 2010,香港MK在哪哦？谢谢。,1.0,0.0
4,3481576475.0,f,31,Mon May 20 17:36:41 +0800 2013,定了个这个，mk flap 正红色小钱包，可以放100RMB的哦～,1.0,0.0
5,1821623507.0,f,400,Sun Sep 19 21:05:41 +0800 2010,kate spade热带风 手提拖特包 juno WKRU2677 超级折扣 美国 http://t.cn/RyZKswt,0.0,1.0
6,1948436661.0,f,11,Thu Feb 03 10:27:28 +0800 2011,mk粉色的多少钱,1.0,0.0
7,5240261270.0,f,400,Mon Aug 04 00:56:02 +0800 2014,求kate slade细节图,0.0,1.0
8,5211226121.0,f,400,Wed Jul 09 21:35:47 +0800 2014,@MichaelKors 作为轻奢，真的性价比超高。,1.0,0.0
9,2956487763.0,f,50,Tue Oct 02 19:23:11 +0800 2012,回复@SE-大M:MK,1.0,0.0
10,1712452347.0,f,11,Tue Mar 16 20:41:41 +0800 2010,今天傍晚，香港铜锣湾，你们准备好了吗？😘@高圆圆 @MichaelKors ,1.0,0.0
11,1661838191.0,f,21,Wed Nov 18 16:28:03 +0800 2009,MK的裙子都不适合头大的人,1.0,0.0
12,3172630955.0,f,400,Tue Dec 04 11:26:25 +0800 2012,MK的手腕包/钱包淘宝链接：http://t.cn/RyAjJH3 ，这款是可以放下苹果6无压力的。,1.0,0.0
